ClaimNbr,CarBrandCode
CLM011BP-6310-001625,MAZDA
CLM0112M-6302-001007,KAWASAKI
CLM011BP-6310-001634,TOYOTA
CLM0112M-6302-001011,HONDA
CLM011A3-6306-000146,TOYOTA
CLM011A3-6306-000150,ISUZU
CLM011BP-6310-001643,TOYOTA
CLM0112M-6302-001025,HONDA
CLM011BP-6310-001652,TOYOTA
CLM011A3-6306-000164,B.M.W.
CLM011BP-6310-001661,ISUZU
CLM0112M-6302-001043,YAMAHA
CLM011A3-6306-000178,HONDA
CLM011BP-6310-001670,MINI
CLM011A3-6306-000182,TOYOTA
CLM0112M-6302-001057,HONDA
CLM0112M-6302-001061,HONDA
CLM011A3-6306-000196,TOYOTA
CLM011BP-6310-001689,TOYOTA
CLM011BP-6310-001698,FORD
CLM011A3-6306-000207,ISUZU
CLM0112M-6302-001075,HONDA
CLM011BP-6310-001701,TOYOTA
CLM011A3-6306-000211,SUZUKI
CLM011BP-6310-001710,ISUZU
CLM0112M-6302-001089,HONDA
CLM0112M-6302-001093,YAMAHA
CLM011A3-6306-000225,ISUZU
CLM0112M-6302-001104,HONDA
CLM011BP-6310-001729,ISUZU
CLM011A3-6306-000239,TOYOTA
CLM011A3-6306-000243,TOYOTA
CLM011BP-6310-001738,TOYOTA
CLM0112M-6302-001118,HONDA
CLM0112M-6302-001122,HONDA
CLM011BP-6310-001747,ISUZU
CLM011A3-6306-000257,MITSUBISHI
CLM011A3-6306-000261,TOYOTA
CLM011BP-6310-001756,TOYOTA
CLM0112M-6302-001136,HONDA
CLM0112M-6302-001140,YAMAHA
CLM011BP-6310-001765,ISUZU
CLM011A3-6306-000275,TOYOTA
CLM011BP-6310-001774,TOYOTA
CLM0112M-6302-001154,HONDA
CLM011A3-6306-000289,TOYOTA
CLM011BP-6310-001783,TOYOTA
CLM011A3-6306-000293,B.M.W.
CLM0112M-6302-001168,HONDA
CLM011BP-6310-001792,TOYOTA
CLM0112M-6302-001172,HONDA
CLM011A3-6306-000304,NISSAN
CLM011BP-6310-001805,HONDA
CLM011A3-6306-000318,MERCEDES-BENZ
CLM0112M-6302-001186,YAMAHA
CLM011A3-6306-000322,TOYOTA
CLM0112M-6302-001190,HONDA
CLM011BP-6310-001814,TOYOTA
CLM011BP-6310-001823,MITSUBISHI
CLM0112M-6302-001201,HONDA
CLM011A3-6306-000336,ISUZU
CLM011A3-6306-000340,TOYOTA
CLM011BP-6310-001832,ISUZU
CLM0112M-6302-001215,HONDA
CLM011BP-6310-001841,TOYOTA
CLM011A3-6306-000354,TOYOTA
CLM011BP-6310-001850,TOYOTA
CLM0112M-6302-001229,HONDA
CLM0112M-6302-001233,SUZUKI
CLM011A3-6306-000368,TOYOTA
CLM011A3-6306-000372,ISUZU
CLM011BP-6310-001869,ISUZU
CLM0112M-6302-001247,HONDA
CLM0112M-6302-001251,HONDA
CLM011A3-6306-000386,TOYOTA
CLM011BP-6310-001878,TOYOTA
CLM011A3-6306-000390,HINO
CLM011BP-6310-001887,HONDA
CLM0112M-6302-001265,HONDA
CLM011A3-6306-000401,TOYOTA
CLM011BP-6310-001896,TOYOTA
CLM0112M-6302-001279,HONDA
CLM011A3-6306-000415,TOYOTA
CLM0112M-6302-001283,HONDA
CLM011BP-6310-001909,TOYOTA
CLM011BP-6310-001918,TOYOTA
CLM0112M-6302-001297,YAMAHA
CLM011A3-6306-000429,TOYOTA
CLM011A3-6306-000433,TOYOTA
CLM011BP-6310-001927,TOYOTA
CLM0112M-6302-001308,HONDA
CLM0112M-6302-001312,HONDA
CLM011BP-6310-001936,TOYOTA
CLM011A3-6306-000447,TOYOTA
CLM011A3-6306-000451,TOYOTA
CLM011BP-6310-001945,TOYOTA
CLM0112M-6302-001326,HONDA
CLM0112M-6302-001330,HONDA
CLM011BP-6310-001954,TOYOTA
CLM011A3-6306-000465,TOYOTA
CLM011BP-6310-001963,HONDA
CLM0112M-6302-001344,HONDA
CLM011A3-6306-000479,TOYOTA
CLM011BP-6310-001972,TOYOTA
CLM011A3-6306-000483,HONDA
CLM011BP-6310-001981,NISSAN
CLM0112M-6302-001358,YAMAHA
CLM0112M-6302-001362,KAWASAKI
CLM011A3-6306-000497,NISSAN
CLM011BP-6310-001990,TOYOTA
CLM011A3-6306-000508,HINO
CLM0112M-6302-001376,YAMAHA
CLM011BP-6310-002000,ISUZU
CLM011A3-6306-000512,ISUZU
CLM0112M-6302-001380,HONDA
CLM011A3-6306-000526,TOYOTA
CLM0112M-6302-001394,HONDA
CLM011BP-6310-002019,TOYOTA
CLM011A3-6306-000530,MINI
CLM011BP-6310-002028,NISSAN
CLM0112M-6302-001405,HONDA
CLM011A3-6306-000544,TOYOTA
CLM011BP-6310-002037,TOYOTA
CLM0112M-6302-001419,HONDA
CLM011BP-6310-002046,ISUZU
CLM0112M-6302-001423,HONDA
CLM011A3-6306-000558,TOYOTA
CLM011A3-6306-000562,ISUZU
CLM011BP-6310-002055,NISSAN
CLM011BP-6310-002064,NISSAN
CLM0112M-6302-001441,KAWASAKI
CLM011A3-6306-000576,ISUZU
CLM011A3-6306-000580,TOYOTA
CLM011BP-6310-002073,MERCEDES-BENZ
CLM0112M-6302-001455,YAMAHA
CLM011BP-6310-002082,ISUZU
CLM011A3-6306-000594,TOYOTA
CLM011BP-6310-002091,TOYOTA
CLM0112M-6302-001469,HONDA
CLM011A3-6306-000605,ISUZU
CLM0112M-6302-001473,YAMAHA
CLM011BP-6310-002104,ISUZU
CLM011A3-6306-000619,TOYOTA
CLM0112M-6302-001487,HONDA
CLM011BP-6310-002113,ISUZU
CLM011A3-6306-000623,ISUZU
CLM0112M-6302-001491,HONDA
CLM011BP-6310-002122,NISSAN
CLM0112M-6302-001502,HONDA
CLM011A3-6306-000637,ISUZU
CLM011BP-6310-002131,TOYOTA
CLM011A3-6306-000641,TOYOTA
CLM0112M-6302-001516,HONDA
CLM011BP-6310-002140,NISSAN
CLM0112M-6302-001520,YAMAHA
CLM011A3-6306-000655,TOYOTA
CLM0112M-6302-001534,HONDA
CLM011BP-6310-002159,ISUZU
CLM011A3-6306-000669,SUZUKI
CLM011A3-6306-000673,TOYOTA
CLM011BP-6310-002168,NISSAN
CLM0112M-6302-001548,YAMAHA
CLM0112M-6302-001552,HONDA
CLM011BP-6310-002177,TOYOTA
CLM011A3-6306-000687,TOYOTA
CLM011A3-6306-000691,TOYOTA
CLM011BP-6310-002186,ISUZU
CLM0112M-6302-001566,YAMAHA
CLM011A3-6306-000702,FORD
CLM0112M-6302-001570,HONDA
CLM011BP-6310-002195,FORD
CLM011A3-6306-000716,TOYOTA
CLM011BP-6310-002208,ISUZU
CLM0112M-6302-001584,HONDA
CLM011A3-6306-000720,TOYOTA
CLM011BP-6310-002217,ISUZU
CLM0112M-6302-001598,HONDA
CLM011A3-6306-000734,TOYOTA
CLM011BP-6310-002226,TOYOTA
CLM0112M-6302-001609,HONDA
CLM011BP-6310-002235,ISUZU
CLM0112M-6302-001613,HONDA
CLM011A3-6306-000748,ISUZU
CLM011A3-6306-000752,ISUZU
CLM011BP-6310-002244,TOYOTA
CLM0112M-6302-001627,YAMAHA
CLM011BP-6310-002253,ISUZU
CLM0112M-6302-001631,YAMAHA
CLM011A3-6306-000766,ISUZU
CLM011A3-6306-000770,ISUZU
CLM011BP-6310-002262,TOYOTA
CLM0112M-6302-001645,YAMAHA
CLM011BP-6310-002271,TOYOTA
CLM011A3-6306-000784,HONDA
CLM011BP-6310-002280,TOYOTA
CLM0112M-6302-001659,HONDA
CLM0112M-6302-001663,YAMAHA
CLM011A3-6306-000798,TOYOTA
CLM011BP-6310-002299,NISSAN
CLM011A3-6306-000809,TOYOTA
CLM0112M-6302-001677,HONDA
CLM011BP-6310-002302,ISUZU
CLM0112M-6302-001681,HONDA
CLM011BP-6310-002311,NISSAN
CLM011A3-6306-000827,TOYOTA
CLM0112M-6302-001695,HONDA
CLM011BP-6310-002320,ISUZU
CLM011A3-6306-000831,HONDA
CLM0112M-6302-001706,HONDA
CLM0112M-6302-001710,HONDA
CLM011A3-6306-000845,TOYOTA
CLM011BP-6310-002339,HONDA
CLM0112M-6302-001724,YAMAHA
CLM011BP-6310-002348,TOYOTA
CLM011A3-6306-000859,FORD
CLM011A3-6306-000863,MERCEDES-BENZ
CLM011BP-6310-002357,ISUZU
CLM0112M-6302-001738,YAMAHA
CLM0112M-6302-001742,HONDA
CLM011BP-6310-002366,TOYOTA
CLM011A3-6306-000877,MAZDA
CLM011A3-6306-000881,TOYOTA
CLM0112M-6302-001756,HONDA
CLM0112M-6302-001760,VESPA
CLM011A3-6306-000895,TOYOTA
CLM011A3-6306-000906,FORD
CLM0112M-6302-001774,HONDA
CLM011A3-6306-000910,NISSAN
CLM0112M-6302-001788,ROYAL ENFIELD
CLM011A3-6306-000924,TOYOTA
CLM0112M-6302-001792,KAWASAKI
CLM0112M-6302-001803,DUCATI
CLM011A3-6306-000938,CHEVROLET
CLM011A3-6306-000942,TOYOTA
CLM0112M-6302-001817,HONDA
CLM0112M-6302-001821,HONDA
CLM011A3-6306-000956,ISUZU
CLM011A3-6306-000960,TOYOTA
CLM0112M-6302-001835,VESPA
CLM011A3-6306-000974,HINO
CLM0112M-6302-001849,BENELLI
CLM0112M-6302-001853,YAMAHA
CLM011A3-6306-000988,NISSAN
CLM011A3-6306-000992,TOYOTA
CLM0112M-6302-001867,KAWASAKI
CLM0112M-6302-001871,SUZUKI
CLM011A3-6306-001005,TOYOTA
CLM0112M-6302-001885,HONDA
CLM011A3-6306-001019,TOYOTA
CLM011A3-6306-001023,TOYOTA
CLM0112M-6302-001899,YAMAHA
CLM0112M-6302-001900,KAWASAKI
CLM011A3-6306-001037,TOYOTA
CLM011A3-6306-001041,ISUZU
CLM0112M-6302-001914,HONDA
CLM011A3-6306-001055,TOYOTA
CLM0112M-6302-001928,HONDA
CLM0112M-6302-001932,HONDA
CLM011A3-6306-001069,VOLVO
CLM011A3-6306-001073,ISUZU
CLM0112M-6302-001946,HONDA
CLM0112M-6302-001950,HONDA
CLM011A3-6306-001087,HINO
CLM011A3-6306-001091,TOYOTA
CLM0112M-6302-001964,HONDA
CLM011A3-6306-001102,NISSAN
CLM0112M-6302-001978,HONDA
CLM0112M-6302-001982,HONDA
CLM011A3-6306-001116,TOYOTA
CLM011A3-6306-001120,MITSUBISHI
CLM0112M-6302-001996,HONDA
CLM011A3-6306-001134,TOYOTA
CLM0112M-6302-002009,HONDA
CLM0112M-6302-002013,HONDA
CLM011A3-6306-001148,TOYOTA
CLM011A3-6306-001152,TOYOTA
CLM0112M-6302-002027,HONDA
CLM0112M-6302-002031,YAMAHA
CLM011A3-6306-001166,TOYOTA
CLM011A3-6306-001170,TOYOTA
CLM0112M-6302-002045,HONDA
CLM011A3-6306-001184,TOYOTA
CLM0112M-6302-002059,YAMAHA
CLM0112M-6302-002063,YAMAHA
CLM011A3-6306-001198,TOYOTA
CLM011A3-6306-001209,TOYOTA
CLM0112M-6302-002077,HONDA
CLM011A3-6306-001213,FORD
CLM0112M-6302-002081,HONDA
CLM011A3-6306-001227,TOYOTA
CLM0112M-6302-002095,YAMAHA
CLM011A3-6306-001231,TOYOTA
CLM0112M-6302-002106,YAMAHA
CLM0112M-6302-002110,HONDA
CLM011A3-6306-001245,TOYOTA
CLM0112M-6302-002124,HONDA
CLM011A3-6306-001259,TOYOTA
CLM011A3-6306-001263,TOYOTA
CLM0112M-6302-002138,HONDA
CLM0112M-6302-002142,KAWASAKI
CLM011A3-6306-001277,TOYOTA
CLM011A3-6306-001281,TOYOTA
CLM0112M-6302-002156,VESPA
CLM0112M-6302-002160,YAMAHA
CLM011A3-6306-001295,TOYOTA
CLM0112M-6302-002174,YAMAHA
CLM011A3-6306-001306,MITSUBISHI
CLM011A3-6306-001310,TOYOTA
CLM0112M-6302-002188,YAMAHA
CLM011A3-6306-001324,ISUZU
CLM0112M-6302-002192,HONDA
CLM0112M-6302-002203,HONDA
CLM011A3-6306-001338,TOYOTA
CLM011A3-6306-001342,ISUZU
CLM0112M-6302-002217,HONDA
CLM0112M-6302-002221,YAMAHA
CLM011A3-6306-001356,NISSAN
CLM011A3-6306-001360,MITSUBISHI
CLM0112M-6302-002235,YAMAHA
CLM011A3-6306-001374,TOYOTA
CLM0112M-6302-002249,YAMAHA
CLM0112M-6302-002253,KAWASAKI
CLM011A3-6306-001388,ISUZU
CLM011A3-6306-001392,TOYOTA
CLM0112M-6302-002267,HONDA
CLM011A3-6306-001403,ISUZU
CLM0112M-6302-002271,HONDA
CLM011A3-6306-001417,ISUZU
CLM0112M-6302-002285,HONDA
CLM011A3-6306-001421,TOYOTA
CLM0112M-6302-002299,HONDA
CLM0112M-6302-002300,YAMAHA
CLM0112M-6302-002314,HONDA
CLM011A3-6306-001449,TOYOTA
CLM011A3-6306-001453,TOYOTA
CLM0112M-6302-002328,VESPA
CLM0112M-6302-002332,YAMAHA
CLM011A3-6306-001467,ISUZU
CLM011A3-6306-001471,TOYOTA
CLM0112M-6302-002346,HONDA
CLM0112M-6302-002350,YAMAHA
CLM011A3-6306-001485,ISUZU
CLM0112M-6302-002364,HONDA
CLM011A3-6306-001499,MITSUBISHI
CLM011A3-6306-001500,TOYOTA
CLM0112M-6302-002378,YAMAHA
CLM0112M-6302-002382,HONDA
CLM011A3-6306-001514,SUZUKI
CLM011A3-6306-001528,TOYOTA
CLM0112M-6302-002396,YAMAHA
CLM011A3-6306-001532,TOYOTA
CLM0112M-6302-002407,HONDA
CLM0112M-6302-002411,HONDA
CLM011A3-6306-001546,TOYOTA
CLM011A3-6306-001550,TOYOTA
CLM0112M-6302-002425,HONDA
CLM011A3-6306-001564,TOYOTA
CLM0112M-6302-002439,HONDA
CLM0112M-6302-002443,HONDA
CLM011A3-6306-001578,TOYOTA
CLM011A3-6306-001582,ISUZU
CLM0112M-6302-002457,HONDA
CLM0112M-6302-002461,YAMAHA
CLM011A3-6306-001596,TOYOTA
CLM011A3-6306-001607,TOYOTA
CLM0112M-6302-002475,HONDA
CLM011A3-6306-001611,TOYOTA
CLM0112M-6302-002489,HONDA
CLM011A3-6306-001625,TOYOTA
CLM0112M-6302-002493,SUZUKI
CLM0112M-6302-002504,HONDA
CLM011A3-6306-001639,HONDA
CLM011A3-6306-001643,ISUZU
CLM0112M-6302-002518,GPX
CLM0112M-6302-002522,HONDA
CLM011A3-6306-001657,TOYOTA
CLM011A3-6306-001661,PROTON
CLM0112M-6302-002536,YAMAHA
CLM0112M-6302-002540,HONDA
CLM011A3-6306-001675,NISSAN
CLM0112M-6302-002554,HONDA
CLM011A3-6306-001689,TOYOTA
CLM011A3-6306-001693,SUZUKI
CLM0112M-6302-002568,YAMAHA
CLM011A3-6306-001704,ISUZU
CLM0112M-6302-002572,HONDA
CLM011A3-6306-001718,ISUZU
CLM0112M-6302-002586,HONDA
CLM011A3-6306-001722,TOYOTA
CLM0112M-6302-002590,YAMAHA
CLM0112M-6302-002601,HONDA
CLM011A3-6306-001736,HONDA
CLM011A3-6306-001740,TOYOTA
CLM0112M-6302-002615,YAMAHA
CLM011A3-6306-001754,TOYOTA
CLM0112M-6302-002629,YAMAHA
CLM0112M-6302-002633,HONDA
CLM011A3-6306-001768,NISSAN
CLM011A3-6306-001772,TOYOTA
CLM0112M-6302-002647,HONDA
CLM0112M-6302-002651,HONDA
CLM011A3-6306-001786,TOYOTA
CLM011A3-6306-001790,HONDA
CLM0112M-6302-002665,HONDA
CLM011A3-6306-001801,TOYOTA
CLM0112M-6302-002679,VESPA
CLM0112M-6302-002683,HONDA
CLM011A3-6306-001815,MITSUBISHI
CLM011A3-6306-001829,HINO
CLM0112M-6302-002697,STALLIONS
CLM011A3-6306-001833,MITSUBISHI
CLM0112M-6302-002708,YAMAHA
CLM0112M-6302-002712,VESPA
CLM011A3-6306-001847,ISUZU
CLM011A3-6306-001851,HONDA
CLM0112M-6302-002726,YAMAHA
CLM0112M-6302-002730,YAMAHA
CLM011A3-6306-001865,TOYOTA
CLM0112M-6302-002744,HONDA
CLM011A3-6306-001879,TOYOTA
CLM011A3-6306-001883,HONDA
CLM0112M-6302-002758,HONDA
CLM0112M-6302-002762,VESPA
CLM011A3-6306-001897,MAZDA
CLM011A3-6306-001908,ISUZU
CLM0112M-6302-002776,HONDA
CLM011A3-6306-001912,NISSAN
CLM0112M-6302-002780,VESPA
CLM0112M-6302-002794,BAJAJ
CLM011A3-6306-001926,ISUZU
